"","annual_mean10","annual_mean11","annual_mean12","annual_mean13","annual_mean14"
"ABBOTSFORD.A",124.583333333333,121.875,128.075,111.05,135.516666666667
"ABBOTSFORD.A.NORMALS",128.15,128.15,128.15,128.15,128.15
"ADDENBROKE.ISLAND",253.241666666667,336.758333333333,258.641666666667,253.208333333333,264.025
"ADDENBROKE.ISLAND.NORMALS",271.858333333333,271.858333333333,271.858333333333,271.858333333333,271.858333333333
"ATLIN",31.775,29.9583333333333,31.8333333333333,28.3416666666667,28.975
"ATLIN.NORMALS",30.3833333333333,30.3833333333333,30.3833333333333,30.3833333333333,30.3833333333333
"BLUE.RIVER.A",67.9,98.675,103.033333333333,76.8833333333333,102.883333333333
"BLUE.RIVER.A.NORMALS",85.3583333333333,85.3583333333333,85.3583333333333,85.3583333333333,85.3583333333333
"BOAT.BLUFF",421.641666666667,538.616666666667,419,371.1,395.7
"BOAT.BLUFF.NORMALS",420.558333333333,420.558333333333,420.558333333333,420.558333333333,420.558333333333
"CAMPBELL.RIVER.A",158.641666666667,114.833333333333,137,82.8416666666667,102.941666666667
"CAMPBELL.RIVER.A.NORMALS",124.116666666667,124.116666666667,124.116666666667,124.116666666667,124.116666666667
"CASTLEGAR.A",56.15,53.4583333333333,89.1166666666667,54.2083333333333,64.0666666666667
"CASTLEGAR.A.NORMALS",62.5583333333333,62.5583333333333,62.5583333333333,62.5583333333333,62.5583333333333
"COMOX.A",120.45,82.2166666666667,110.591666666667,66.5416666666667,100.158333333333
"COMOX.A.NORMALS",96.15,96.15,96.15,96.15,96.15
"CRANBROOK.A",34.3083333333333,35.35,39.0166666666667,35.1583333333333,36.425
"CRANBROOK.A.NORMALS",32.1,32.1,32.1,32.1,32.1
"DARFIELD",30.225,37.7416666666667,49.325,42.4416666666667,39.3666666666667
"DARFIELD.NORMALS",40.4416666666667,40.4416666666667,40.4416666666667,40.4416666666667,40.4416666666667
"DRYAD.POINT",201.008333333333,262.891666666667,215.341666666667,200.916666666667,216.9
"DRYAD.POINT.NORMALS",219.05,219.05,219.05,219.05,219.05
"DUNCAN.LAKE.DAM",53.5,71.9333333333333,82.4333333333333,68.625,66.4416666666667
"DUNCAN.LAKE.DAM.NORMALS",67.25,67.25,67.25,67.25,67.25
"ESTEVAN.POINT",263.616666666667,252.416666666667,281.516666666667,197.25,230.366666666667
"ESTEVAN.POINT.NORMALS",265.375,265.375,265.375,265.375,265.375
"FORT.NELSON.A",35.125,40.2666666666667,39.175,38.5166666666667,37.4
"FORT.NELSON.A.NORMALS",37.6833333333333,37.6833333333333,37.6833333333333,37.6833333333333,37.6833333333333
"FORT.ST.JOHN.A",28.8166666666667,53.2333333333333,44.1583333333333,46.9583333333333,33.9833333333333
"FORT.ST.JOHN.A.NORMALS",37.0583333333333,37.0583333333333,37.0583333333333,37.0583333333333,37.0583333333333
"GOLDEN.A",28.375,50.0833333333333,53.45,29.6333333333333,49.6833333333333
"GOLDEN.A.NORMALS",38.9,38.9,38.9,38.9,38.9
"GREEN.ISLAND",154.483333333333,166.858333333333,143.366666666667,145.125,167.45
"GREEN.ISLAND.NORMALS",206.191666666667,206.191666666667,206.191666666667,206.191666666667,206.191666666667
"KAMLOOPS.A",23.1333333333333,19.5083333333333,24.6416666666667,22.0916666666667,23.1333333333333
"KAMLOOPS.A.NORMALS",23.15,23.15,23.15,23.15,23.15
"MERRITT.STP",24.5333333333333,27.8916666666667,28.9916666666667,23.8666666666667,21.7583333333333
"MERRITT.STP.NORMALS",26.7666666666667,26.7666666666667,26.7666666666667,26.7666666666667,26.7666666666667
"MISSION.WEST.ABBEY",154.475,164.708333333333,175.141666666667,152.633333333333,169.033333333333
"MISSION.WEST.ABBEY.NORMALS",156.958333333333,156.958333333333,156.958333333333,156.958333333333,156.958333333333
"NANAIMO.A",102.058333333333,85.3833333333333,106.591666666667,63.0083333333333,96.3333333333333
"NANAIMO.A.NORMALS",97.1083333333333,97.1083333333333,97.1083333333333,97.1083333333333,97.1083333333333
"NOOTKA.LIGHTSTATION",250.908333333333,268.741666666667,276.583333333333,206.891666666667,233.925
"NOOTKA.LIGHTSTATION.NORMALS",273.308333333333,273.308333333333,273.308333333333,273.308333333333,273.308333333333
"PENTICTON.A",32.1833333333333,26.6333333333333,38.1166666666667,32.2,30.8583333333333
"PENTICTON.A.NORMALS",28.85,28.85,28.85,28.85,28.85
"PRINCE.GEORGE.STP",37.4666666666667,61.7416666666667,43.2083333333333,60.6916666666667,37.2166666666667
"PRINCE.GEORGE.STP.NORMALS",46.5083333333333,46.5083333333333,46.5083333333333,46.5083333333333,46.5083333333333
"PRINCETON.A",24.975,30.3833333333333,31.6416666666667,38.65,31.8166666666667
"PRINCETON.A.NORMALS",28.9166666666667,28.9166666666667,28.9166666666667,28.9166666666667,28.9166666666667
"QUALICUM.R.FISH.RESEARCH",115.833333333333,108.341666666667,112.016666666667,74.0333333333333,96.575
"QUALICUM.R.FISH.RESEARCH.NORMALS",109.125,109.125,109.125,109.125,109.125
"SALTSPRING.ST.MARY.S.L",87.7916666666667,67.15,87.4166666666667,58.3416666666667,79.0416666666667
"SALTSPRING.ST.MARY.S.L.NORMALS",82.2416666666667,82.2416666666667,82.2416666666667,82.2416666666667,82.2416666666667
"SHAWNIGAN.LAKE",114.933333333333,96.1,112,71.2833333333333,105.25
"SHAWNIGAN.LAKE.NORMALS",104.158333333333,104.158333333333,104.158333333333,104.158333333333,104.158333333333
"SMITHERS.A",34.1916666666667,52.5,43.2416666666667,39.6916666666667,34.3333333333333
"SMITHERS.A.NORMALS",42.3916666666667,42.3916666666667,42.3916666666667,42.3916666666667,42.3916666666667
"SPARWOOD",42.3416666666667,56.7833333333333,67.1166666666667,49.9333333333333,53.6416666666667
"SPARWOOD.NORMALS",51.125,51.125,51.125,51.125,51.125
"STEWART.A",126.858333333333,185.6,125.541666666667,137.041666666667,151.266666666667
"STEWART.A.NORMALS",155.566666666667,155.566666666667,155.566666666667,155.566666666667,155.566666666667
"TERRACE.A",110.741666666667,135.216666666667,96.7916666666667,68.9083333333333,111.458333333333
"TERRACE.A.NORMALS",111.758333333333,111.758333333333,111.758333333333,111.758333333333,111.758333333333
"TOFINO.A",278.066666666667,256.825,277.35,220.783333333333,229.733333333333
"TOFINO.A.NORMALS",272.583333333333,272.583333333333,272.583333333333,272.583333333333,272.583333333333
"VANCOUVER.INT.L.A",100.583333333333,89.0416666666667,100.941666666667,77.2833333333333,105.05
"VANCOUVER.INT.L.A.NORMALS",99.0833333333333,99.0833333333333,99.0833333333333,99.0833333333333,99.0833333333333
"VICTORIA.INT.L.A",76.4166666666667,68.125,80.325,55.8583333333333,75.7583333333333
"VICTORIA.INT.L.A.NORMALS",73.575,73.575,73.575,73.575,73.575
"WILLIAMS.LAKE.A",24.9,43.55,35.1583333333333,39.2,42.5666666666667
"WILLIAMS.LAKE.A.NORMALS",37.575,37.575,37.575,37.575,37.575
