station_name,lat,lng,elevation
ABBOTSFORD A,49.03,-122.36,59.1
ADDENBROKE ISLAND,51.6,-127.86,21.3
ATLIN,59.57,-133.7,673.6
BLUE RIVER A,52.13,-119.29,690.4
BOAT BLUFF,52.64,-128.52,10.7
CAMPBELL RIVER A,49.95,-125.27,108.8
CASTLEGAR A,49.3,-117.63,495.6
COMOX A,49.72,-124.9,25.6
CRANBROOK A,49.61,-115.78,940
DARFIELD,51.3,-120.18,412
DRYAD POINT,52.19,-128.11,3.5
DUNCAN LAKE DAM,50.24,-116.97,548.6
ESTEVAN POINT,49.38,-126.54,5.8
FORT NELSON A,58.84,-122.6,381.9
FORT ST JOHN A,56.24,-120.74,694.9
GOLDEN A,51.3,-116.98,784.9
GREEN ISLAND,54.57,-130.71,11.9
KAMLOOPS A,50.7,-120.44,345.3
MERRITT STP,50.11,-120.8,609
MISSION WEST ABBEY,49.15,-122.27,197
NANAIMO A,49.05,-123.87,28
NOOTKA LIGHTSTATION,49.6,-126.62,15.8
PENTICTON A,49.46,-119.6,344.4
PRINCE GEORGE STP,53.88,-122.77,579
PRINCETON A,49.47,-120.51,701.7
QUALICUM R FISH RESEARCH,49.39,-124.62,7.6
SALTSPRING ST MARY'S L,48.89,-123.55,45.7
SHAWNIGAN LAKE,48.65,-123.63,159
SMITHERS A,54.82,-127.18,521.8
SPARWOOD,49.75,-114.88,"1,137.7"
STEWART A,55.94,-129.99,7.3
TERRACE A,54.47,-128.58,217.3
TOFINO A,49.08,-125.77,24.5
VANCOUVER INT'L A,49.2,-123.18,4.3
VICTORIA INT'L A,48.65,-123.43,19.5
WILLIAMS LAKE A,52.18,-122.05,939.7